game_id,game_type,season,created,player_names,player_ids,player_leagues,player_races,player_orders,map_id,map_name,turn_count,replay_fetched,player_winner,engine
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQobLGvAkM    ,3,7,2020-07-27 14:02:38,"{gellysassy,""Joey Energy""}","{67962,193483}","{1,1}","{3,4}",\N,3,Foundry (V2),15,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQgZn0sQoM    ,3,7,2020-07-27 23:32:14,"{MamaD7050,Sirexp}","{192618,171133}","{2,2}","{2,1}",\N,3,Foundry (V2),13,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ_oeFswoM    ,3,7,2020-07-27 12:29:07,"{HootingUndead215,dannyainge}","{193170,1347}","{4,4}","{3,2}",\N,3,Foundry (V2),23,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ4a-PogoM    ,2,7,2020-07-27 17:42:25,"{bentley460,(OnionKnight)}","{1588128,37449}","{0,0}","{3,4}",\N,3,Foundry (V2),10,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ_ruztgoM    ,3,7,2020-07-27 18:14:03,"{MrBimble,bettinanyc}","{1233,16684}","{0,3}","{3,1}",\N,3,Foundry (V2),4,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQoZP0pgkM    ,2,7,2020-07-27 22:29:22,"{Brygirl,""Mr. Dank’s Cat""}","{40148,190119}","{0,0}","{3,4}",\N,3,Foundry (V2),14,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQwZTvrwoM    ,2,7,2020-07-27 09:24:59,"{cmss220,""Π Anvil Π""}","{134561,188241}","{0,0}","{2,1}",\N,3,Foundry (V2),15,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQgfOMqQoM    ,2,7,2020-07-27 01:40:41,"{Ruhern,""Rogue 3""}","{34820,193639}","{0,0}","{3,3}",\N,3,Foundry (V2),13,t,1,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQwZznqQoM    ,2,7,2020-07-27 23:51:23,"{lojustin,HuninZero}","{193730,193734}","{0,0}","{2,1}",\N,9,Long Nine,10,t,2,1603
ahRzfm91dHdpdHRlcnNnYW1lLWhyZHIVCxIIR2FtZVJvb20YgICQ_pSKpgkM    ,2,7,2020-07-27 23:13:46,"{""Brady Catbane"",(OnionKnight)}","{189542,37449}","{0,0}","{3,4}",\N,13,Reaper,14,t,2,1603
